id,site_no,testtime,temperature,pH,EC,ORP,DO,turbidity,transparency,COD,P,NH3N,flux,category,classes
4092,10013,2018-01-03 15:10:59.000,9.5,7,598,234,9.6,0,0,5.52,0,0.06,0,1,0
4091,10007,2018-01-03 15:09:15.000,10,7.2,886,416,3.6,15,0,7.07,0.312,8.27,0,1,0
4090,10006,2018-01-03 14:58:53.000,10.5,7.7,13,408,10.9,5.18,0,0,0.455,0.04,0,1,0
4089,10018,2018-01-03 14:34:00.000,14,7.19,1.62015,559,9.19257,51.4,71,5.1,0.21844,226.6528,100,1,0
4088,10019,2018-01-03 14:34:00.000,14.1,7.46,0,0,9.84195,4.8,0,7.42,0,10000,0,1,0
4087,10021,2018-01-03 13:51:06.000,9.2,8.12,1357,155,11.5,0.3,0,8.16,0.018,0.19,0,1,0
4086,10020,2018-01-03 13:31:13.000,10.3,7.4,1094,405,5.1,2.7,0,13.31,0.17,6.05,0,1,0
4085,10013,2018-01-03 13:14:05.000,9.5,6.99,600,236,9.6,0,0,4.83,0,0.12,0,1,0
4084,10017,2018-01-03 12:48:04.000,10.3,7.62,840,241,5.4,8,0,9.55,0,0.83,0,1,0
4083,10018,2018-01-03 12:34:00.000,13.9,7.15,1.82921,530,9.26783,51.4,71,3.48,0.21844,237.9331,100,1,0
4082,10002,2018-01-03 12:34:00.000,14.2,7.18,906.0023,349,0,14.4,0,11.81,0.0175,4.07456,0,1,0
4081,10025,2018-01-03 12:34:00.000,14.7,7.83,955.9871,216.59,6.8,18.74,0,3.4,0.23,0.90567,0,1,0
4080,10019,2018-01-03 12:34:00.000,14.2,7.47,0,0,9.84195,4.8,0,7.74,0,10000,0,1,0
4079,10004,2018-01-03 12:34:00.000,14.1,7.59,839.0032,122,5.23959,1.8,0,12,0.44274,8.37485,0,1,0
4078,10014,2018-01-03 11:17:07.000,15,7.74,1,87,9.7,18.7,0,9.83,0,143.22,0,1,0
4077,10013,2018-01-03 11:17:00.000,9.5,6.99,599,234,9.2,0,0,5.17,0,0.09,0,1,0
4076,10006,2018-01-03 11:10:31.000,10.3,7.44,835,398,2.9,5.18,0,0,0.455,1188.52,0,1,0
4075,10008,2018-01-03 06:34:00.000,13.6,7.72,547.8246,296,5.53959,0.83,0,6.47,0.418,0.0001,0,1,0
4074,10008,2018-01-03 00:34:00.000,13.8,7.75,549.4563,307,5.57959,0.89,0,6.84,0.464,0,0,1,0
4073,10018,2018-01-03 10:34:00.000,14,7.14,1.97329,501,9.31487,51.4,71,3.24,0.21844,245.1013,100,1,0
4072,10019,2018-01-03 10:34:00.000,14.5,7.45,0,0,9.84195,4.8,0,7.74,0,10000,0,1,0
4071,10000,2018-01-03 10:16:40.000,9,7.42,706,431,2.7,4.4,0,0,0,2.53,0,1,0
4070,10005,2018-01-03 09:43:53.000,11.4,7.25,739,418,3.5,3.3,0,7.64,0.162,2.64,0,1,0
4069,10013,2018-01-03 09:19:42.000,9.6,7,600,232,9.4,0,0,5.17,0,0.04,0,1,0
4068,10007,2018-01-03 09:09:11.000,10,7.27,903,414,3.5,15,0,8.1,0.313,8.27,0,1,0
4067,10018,2018-01-03 08:34:00.000,14,7.13,2.15283,472,9.33291,51.4,71,3.72,0.21844,246.8713,100,1,0
4066,10022,2018-01-03 05:28:34.000,10.1,7.28,792,139,6.3,0,0,0,0.184,0.03,0,1,0
4065,10022,2018-01-02 23:28:24.000,10.4,7.33,750,168,6.8,0,0,0,0.196,0.03,0,1,0
4064,10022,2018-01-02 17:28:52.000,10.4,7.33,750,168,6.8,0,0,0,0.175,1.28,0,1,0
4063,10019,2018-01-03 08:34:00.000,14.7,7.45,0,0,9.84195,4.8,0,7.26,0,10000,0,1,0
4062,10000,2018-01-03 08:03:17.000,9,7.41,710,435,2.5,4.4,0,0,0,2.49,0,1,0
4061,10010,2018-01-03 08:01:02.000,9.8,6.99,404,234,9.8,15.47,0,4.24,0,688591.31,0,1,0
4060,10021,2018-01-03 07:51:05.000,9.4,8.1,1348,153,11.5,0.3,0,8.16,0.018,0.26,0,1,0
4059,10020,2018-01-03 07:31:20.000,10.6,7.4,1103,401,5.3,2.7,0,12.65,0.142,5.97,0,1,0
4058,10013,2018-01-03 07:22:23.000,9.7,7,597,230,9.6,0,0,5.52,0,0.04,0,1,0
4057,10017,2018-01-03 06:48:10.000,10.5,7.63,842,232,5.3,8,0,9.63,0,0.84,0,1,0
4056,10018,2018-01-03 06:34:00.000,15,7.14,2.38626,455,9.03458,51.4,71,1.54,0.21844,281.7685,100,1,0
4055,10002,2018-01-03 06:34:00.000,15,7.16,900.1262,378,0.03909,12.9,0,10.6,0.23043,7.46758,0,1,0
4054,10025,2018-01-03 06:34:00.000,15.4,7.83,956.087,216.59,6.8,18.74,0,3.53,0.23,0.91295,0,1,0
4053,10019,2018-01-03 06:34:00.000,15,7.44,0,0,9.84195,4.8,0,7.58,0,10000,0,1,0
4052,10004,2018-01-03 06:34:00.000,14.5,7.65,837.0376,202,5.23959,1.8,0,11.35,0.44274,8.75603,0,1,0
4051,10010,2018-01-03 06:03:20.000,9.8,6.99,429,229,9.8,15.47,0,4,0,119.66,0,1,0
4050,10000,2018-01-03 05:50:24.000,9,7.44,717,436,2.7,4.4,0,0,0,2.45,0,1,0
4049,10013,2018-01-03 05:25:35.000,9.7,7,601,226,10,0,0,5,0,0.06,0,1,0
4048,10014,2018-01-03 05:16:28.000,16.6,7.69,2,89,9.3,18.7,0,10.78,0,123.03,0,1,0
4047,10006,2018-01-03 05:10:13.000,10.5,7.41,806,395,3.9,5.18,0,0,0.503,1681.88,0,1,0
4046,10018,2018-01-03 04:34:00.000,15.4,7.18,2.55649,450,8.90522,51.4,71,5.18,0.21844,283.2933,100,1,0
