id,site_no,testtime,temperature,pH,EC,ORP,DO,turbidity,transparency,COD,P,NH3N,flux,category,classes
3017,10010,2017-12-20 04:26:56.000,7.2,8.15,395,72,12.5,1.1,0,5.71,0,216180.52,0,1,0
3018,10017,2017-12-20 04:30:06.000,7.7,8.69,1408,170,13.4,8,0,12.73,0,0.49,0,1,0
3019,10014,2017-12-20 05:22:19.000,6.9,7.66,574,70,7.3,0.5,0,5.17,0,1.04,0,1,0
3020,10017,2017-12-20 11:05:52.000,7.6,8.67,1392,175,12.7,8,0,12.73,0,0.46,0,1,0
3021,10014,2017-12-20 11:22:40.000,6.1,7.61,557,63,6.3,0.5,0,6.38,0,1.34,0,1,0
3022,10000,2017-12-20 12:16:14.000,10.5,7.4,724,491,3.6,4.4,0,0,0,1.72,0,1,0
3023,10007,2017-12-20 13:49:54.000,11,7.29,891,188,2.5,54.34,0,255,0.018,0.07,0,1,0
3024,10021,2017-12-20 13:57:26.000,8,8.36,1650,162,8.4,1,0,5.8,0.018,1.65,0,1,0
3025,10021,2017-12-20 13:57:27.000,8,8.36,1650,162,8.4,1,0,5.8,0.018,1.65,0,1,0
3026,10005,2017-12-20 14:47:37.000,12.1,6.89,346,415,7,3.7,0,6.75,0.153,5.93,0,1,0
3027,10005,2017-12-20 14:47:37.000,12.1,6.89,346,415,7,3.7,0,6.75,0.153,5.93,0,1,0
3028,10005,2017-12-20 14:47:38.000,12.1,6.89,346,415,7,3.7,0,6.75,0.153,5.93,0,1,0
3029,10005,2017-12-20 14:47:39.000,12.1,6.89,346,415,7,3.7,0,6.75,0.153,5.93,0,1,0
3030,10005,2017-12-20 14:48:13.000,12.1,6.89,346,415,7,3.7,0,6.75,0.153,5.93,0,1,0
3031,10005,2017-12-20 14:48:14.000,12.1,6.89,346,415,7,3.7,0,6.75,0.153,5.93,0,1,0
3032,10005,2017-12-20 14:48:16.000,12.1,6.89,346,415,7,3.7,0,6.75,0.153,5.93,0,1,0
3033,10005,2017-12-20 14:48:17.000,12.1,6.89,346,415,7,3.7,0,6.75,0.153,5.93,0,1,0
3034,10005,2017-12-20 14:48:18.000,12.1,6.89,346,415,7,3.7,0,6.75,0.153,5.93,0,1,0
3035,10005,2017-12-20 14:48:19.000,12.1,6.89,346,415,7,3.7,0,6.75,0.153,5.93,0,1,0
3036,10005,2017-12-20 14:48:20.000,12.1,6.89,346,415,7,3.7,0,6.75,0.153,5.93,0,1,0
3037,10005,2017-12-20 14:48:22.000,12.1,6.89,346,415,7,3.7,0,6.75,0.153,5.93,0,1,0
3038,10005,2017-12-20 14:48:23.000,12.1,6.89,346,415,7,3.7,0,6.75,0.153,5.93,0,1,0
3039,10005,2017-12-20 14:48:24.000,12.1,6.89,346,415,7,3.7,0,6.75,0.153,5.93,0,1,0
3040,10005,2017-12-20 14:48:25.000,12.2,6.89,344,417,5.1,3.5,0,6.75,0.153,5.93,0,1,0
3041,10005,2017-12-20 14:48:26.000,12.2,6.89,344,417,5.1,3.5,0,6.75,0.153,5.93,0,1,0
3042,10005,2017-12-20 14:48:28.000,12.2,6.89,344,417,5.1,3.5,0,6.75,0.153,5.93,0,1,0
3043,10005,2017-12-20 14:48:29.000,12.2,6.89,344,417,5.1,3.5,0,6.75,0.153,5.93,0,1,0
3044,10006,2017-12-20 14:50:06.000,8.3,7.44,819,27,6.7,235.5,0,12.95,0.029,0.9,0,1,0
3045,10020,2017-12-20 15:04:34.000,11.9,7.37,1116,362,6.5,2.7,0,12.57,1.791,2.58,0,1,0
3046,10020,2017-12-20 15:04:35.000,11.9,7.37,1116,362,6.5,2.7,0,12.57,1.791,2.58,0,1,0
3047,10020,2017-12-20 15:04:36.000,11.9,7.37,1116,362,6.5,2.7,0,12.57,1.791,2.58,0,1,0
3048,10007,2017-12-20 16:16:07.000,8,7.39,938,84,5.4,54.34,0,11.38,0.291,4.31,0,1,0
3049,10007,2017-12-20 16:16:07.000,8,7.39,938,84,5.4,54.34,0,11.38,0.291,4.31,0,1,0
3050,10007,2017-12-20 16:16:08.000,8,7.39,938,84,5.4,54.34,0,11.38,0.291,4.31,0,1,0
3051,10007,2017-12-20 16:16:09.000,8,7.39,938,84,5.4,54.34,0,11.38,0.291,4.31,0,1,0
3052,10007,2017-12-20 16:16:10.000,8,7.39,938,84,5.4,54.34,0,11.38,0.291,4.31,0,1,0
3053,10007,2017-12-20 16:16:12.000,8,7.39,938,84,5.4,54.34,0,11.38,0.291,4.31,0,1,0
3054,10010,2017-12-20 16:23:50.000,7.6,8.14,457,90,11.7,1.1,0,5.47,0,107335.85,0,1,0
3055,10007,2017-12-20 16:39:03.000,8,7.39,938,84,5.4,54.34,0,11.38,0.291,4.31,0,1,0
3056,10014,2017-12-20 17:22:09.000,7.6,7.63,567,75,6.8,0.5,0,6.47,0,1.28,0,1,0
3057,10017,2017-12-20 17:41:53.000,7.7,8.81,1334,167,13.4,8,0,12.98,0,0.37,0,1,0
3058,10005,2017-12-20 18:35:40.000,9.4,6.89,346,422,8.9,35.9,0,6.34,0.157,2.11,0,1,0
3059,10007,2017-12-20 18:38:44.000,8.1,7.44,963,62,5.3,54.34,0,13.97,0.275,4.73,0,1,0
3060,10000,2017-12-20 20:22:37.000,7.1,8.03,737,437,9.6,4.4,0,0,0,2.4,0,1,0
3061,10006,2017-12-20 20:49:55.000,8.4,7.41,782,85,7.1,260.1,0,8.84,0.666,3.42,0,1,0
3062,10000,2017-12-20 22:36:14.000,7,8,739,442,9.5,4.4,0,0,0,2.37,0,1,0
3063,10014,2017-12-20 23:22:42.000,7.2,7.66,563,96,6.8,0.5,0,6.64,0,1.48,0,1,0
3064,10017,2017-12-21 00:17:39.000,8.5,8.89,1354,159,14.5,8,0,12.98,0,0.34,0,1,0
3065,10007,2017-12-21 00:36:23.000,7.9,7.37,907,85,5.5,54.34,0,8.97,0.264,4.37,0,1,0
3066,10005,2017-12-21 00:37:20.000,9.2,6.89,323,421,8.2,53,0,6.75,0.142,9.46,0,1,0
3067,10000,2017-12-21 00:49:40.000,6.8,7.97,740,448,9.4,4.4,0,0,0,2.38,0,1,0
3068,10008,2017-12-20 22:34:00.000,9.1,7.6,0.02355,568,16.45783,7.9,0,0,0,1.27627,0,1,0
3069,10008,2017-12-21 02:34:00.000,8.4,7.6,0.025,566,16.32306,2.4,0,0,0,0.20906,0,1,0
3070,10006,2017-12-21 02:50:15.000,7.6,7.43,811,84,7.5,260.1,0,6.96,0.629,38.05,0,1,0
